Point ID,y,c,gammadot,J_0,J_1,J_2,J_Magnitude,p,x,y,z,Points_Magnitude,Sigma_0,Sigma_1,Sigma_2,Sigma_3,Sigma_4,Sigma_5,Sigma_6,Sigma_7,Sigma_8,Sigma_Magnitude,SigmaP_0,SigmaP_1,SigmaP_2,SigmaP_3,SigmaP_4,SigmaP_5,SigmaP_6,SigmaP_7,SigmaP_8,SigmaP_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
57,0.0001026,0.187693,20.2009,-0.00000300061,4.01095E-10,0,0.00000300061,6.13286,1.50552,0.0001026,0.000005,1.50552,-6.22221,0.0155404,0,0.0155404,-6.22203,0,0,0,-6.22176,10.7768,-0.000893787,0.00739339,0,0.00739339,-0.000715023,0,0,0,-0.000446894,0.0105278,0.00225269,0.00000000119844,0,0.00225269,1
58,0.0001044,0.187901,20.1393,-0.00000300043,3.87008E-10,0,0.00000300043,6.13286,1.50552,0.0001044,0.000005,1.50552,-6.22221,0.015505,0,0.015505,-6.22203,0,0,0,-6.22176,10.7768,-0.000893758,0.00738285,0,0.00738285,-0.000715,0,0,0,-0.000446879,0.010513,0.00228766,0.00000000117046,0,0.00228766,1
59,0.0001062,0.188109,20.0776,-0.00000300025,3.72922E-10,0,0.00000300025,6.13286,1.50552,0.0001062,0.000005,1.50552,-6.22221,0.0154696,0,0.0154696,-6.22203,0,0,0,-6.22176,10.7768,-0.00089373,0.00737231,0,0.00737231,-0.000714977,0,0,0,-0.000446865,0.0104982,0.00232264,0.00000000114248,0,0.00232264,1
60,0.000108,0.188316,20.016,-0.00000300007,3.58835E-10,0,0.00000300007,6.13286,1.50552,0.000108,0.000005,1.50552,-6.22221,0.0154342,0,0.0154342,-6.22203,0,0,0,-6.22176,10.7768,-0.000893701,0.00736177,0,0.00736177,-0.000714954,0,0,0,-0.00044685,0.0104834,0.00235761,0.0000000011145,0,0.00235761,1
61,0.0001098,0.188524,19.9544,-0.00000299989,3.44748E-10,0,0.00000299989,6.13286,1.50552,0.0001098,0.000005,1.50552,-6.22221,0.0153988,0,0.0153988,-6.22203,0,0,0,-6.22176,10.7768,-0.000893672,0.00735123,0,0.00735123,-0.000714931,0,0,0,-0.000446836,0.0104685,0.00239259,0.00000000108652,0,0.00239259,1
62,0.0001116,0.188732,19.8927,-0.00000299971,3.30661E-10,0,0.00000299971,6.13286,1.50552,0.0001116,0.000005,1.50552,-6.22221,0.0153634,0,0.0153634,-6.22203,0,0,0,-6.22176,10.7768,-0.000893644,0.00734069,0,0.00734069,-0.000714908,0,0,0,-0.000446822,0.0104537,0.00242756,0.00000000105854,0,0.00242756,1
63,0.0001134,0.188939,19.8311,-0.00000299952,3.16575E-10,0,0.00000299952,6.13286,1.50552,0.0001134,0.000005,1.50552,-6.22221,0.015328,0,0.015328,-6.22203,0,0,0,-6.22176,10.7768,-0.000893615,0.00733015,0,0.00733015,-0.000714885,0,0,0,-0.000446807,0.0104389,0.00246253,0.00000000103056,0,0.00246253,1
64,0.0001152,0.189147,19.7695,-0.00000299934,3.02488E-10,0,0.00000299934,6.13286,1.50552,0.0001152,0.000005,1.50552,-6.22221,0.0152926,0,0.0152926,-6.22203,0,0,0,-6.22176,10.7768,-0.000893586,0.0073196,0,0.0073196,-0.000714861,0,0,0,-0.000446793,0.0104241,0.00249751,0.00000000100259,0,0.00249751,1
65,0.000117,0.189355,19.7078,-0.00000299916,2.88401E-10,0,0.00000299916,6.13286,1.50552,0.000117,0.000005,1.50552,-6.22221,0.0152572,0,0.0152572,-6.22203,0,0,0,-6.22176,10.7768,-0.000893557,0.00730906,0,0.00730906,-0.000714838,0,0,0,-0.000446779,0.0104093,0.00253248,9.74607E-10,0,0.00253248,1
66,0.0001188,0.189563,19.6462,-0.00000299898,2.74315E-10,0,0.00000299898,6.13286,1.50552,0.0001188,0.000005,1.50552,-6.22221,0.0152218,0,0.0152218,-6.22203,0,0,0,-6.22176,10.7768,-0.000893529,0.00729852,0,0.00729852,-0.000714815,0,0,0,-0.000446764,0.0103945,0.00256746,9.46629E-10,0,0.00256746,1
67,0.0001206,0.18977,19.5846,-0.0000029988,2.60228E-10,0,0.0000029988,6.13286,1.50552,0.0001206,0.000005,1.50552,-6.22221,0.0151864,0,0.0151864,-6.22203,0,0,0,-6.22176,10.7768,-0.0008935,0.00728798,0,0.00728798,-0.000714792,0,0,0,-0.00044675,0.0103797,0.00260243,9.1865E-10,0,0.00260243,1
68,0.0001224,0.189978,19.5229,-0.00000299862,2.46141E-10,0,0.00000299862,6.13286,1.50552,0.0001224,0.000005,1.50552,-6.22221,0.015151,0,0.015151,-6.22203,0,0,0,-6.22176,10.7768,-0.000893471,0.00727744,0,0.00727744,-0.000714769,0,0,0,-0.000446736,0.0103649,0.0026374,8.90671E-10,0,0.0026374,1
69,0.0001242,0.190186,19.4613,-0.00000299843,2.32055E-10,0,0.00000299843,6.13286,1.50552,0.0001242,0.000005,1.50552,-6.22221,0.0151156,0,0.0151156,-6.22203,0,0,0,-6.22176,10.7768,-0.000893442,0.0072669,0,0.0072669,-0.000714746,0,0,0,-0.000446721,0.0103501,0.00267238,8.62693E-10,0,0.00267238,1
